what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311225085975
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225086145
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1311225086174
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311225089644
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311225111689
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311225119267
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311225125376
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1311225144936
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1311225144955
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225148568
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225151539
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311225158397
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1311225162243
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1311225162878
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225166580
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225166788
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311225178082
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311225185714
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311225187858
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1311225209888
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1311225211111
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1311225211173
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1311225214729
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311225221940
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1311225225713
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1311225232115
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225247110
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225274905
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311225274968
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1311225292721
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1311225295232
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225296933
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225299335
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225306527
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225314888
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225315356
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311225318710
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311225326417
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225336884
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225380096
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311225383497
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311225383856
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311225383856
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1311225386726
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1311225398270
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1311225404042
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225409284
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225415945
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1311225426740
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311225442808
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311225453978
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1311225458127
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1311225466536
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225468908
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225497470
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225555483
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225559948
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225576360
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225597785
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1311225604603
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225614720
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225634605
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311225664905
