what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1311396088699
processors,sysinfo,,,"2",1311396088699
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1311396088699
java.runtime.version,sysinfo,,,"1.5.0_11-b03",1311396088699
java.specification.name,sysinfo,,,"Java Platform API Specification",1311396088699
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1311396088699
java.specification.version,sysinfo,,,"1.5",1311396088699
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1311396088699
java.version,sysinfo,,,"1.5.0_11",1311396088699
java.vm.info,sysinfo,,,"mixed mode",1311396088699
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1311396088699
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1311396088699
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1311396088699
java.vm.specification.version,sysinfo,,,"1.0",1311396088699
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1311396088699
java.vm.version,sysinfo,,,"1.5.0_11-b03",1311396088699
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1311396088777
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1311396088933
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1311396089074
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1311396089230
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1311396090571
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1311396090603
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1311396090696
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1311396091367
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1311396091398
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1311396634218
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1311396634220
