what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1311835578177
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1311835578177
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1311835578177
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1311835578192
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1311835578192
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1311835578192
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1311835578192
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1311835578192
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1311835578192
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1311835578208
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1311835578208
started,bundle,com.android.ide.eclipse.adt,8.0.1.v201012062107-82219,"com.android.ide.eclipse.adt",1311835578208
started,bundle,com.android.ide.eclipse.ddms,8.0.1.v201012062107-82219,"com.android.ide.eclipse.ddms",1311835578208
started,bundle,org.eclipse.jem,2.0.401.v201104271300,"org.eclipse.jem",1311835578208
started,bundle,org.eclipse.jst.j2ee,1.1.405.v201104141500,"org.eclipse.jst.j2ee",1311835578208
started,bundle,org.eclipse.jst.j2ee.core,1.2.5.v201104261700,"org.eclipse.jst.j2ee.core",1311835578208
started,bundle,org.eclipse.wst.common.modulecore,1.2.6.v201103310300,"org.eclipse.wst.common.modulecore",1311835578208
started,bundle,org.eclipse.wst.jsdt.core,1.1.5.v201104272136,"org.eclipse.wst.jsdt.core",1311835578208
started,bundle,org.eclipse.wst.jsdt.ui,1.1.5.v201104070556,"org.eclipse.wst.jsdt.ui",1311835578224
started,bundle,org.eclipse.wst.validation,1.2.202.v201103212041,"org.eclipse.wst.validation",1311835578224
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1311835578224
started,bundle,org.eclipse.wst.xml.core,1.1.504.v201104070043,"org.eclipse.wst.xml.core",1311835578239
os,sysinfo,,,"win32",1311835578255
arch,sysinfo,,,"x86",1311835578255
ws,sysinfo,,,"win32",1311835578255
locale,sysinfo,,,"en_US",1311835578255
processors,sysinfo,,,"2",1311835578255
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1311835578255
java.runtime.version,sysinfo,,,"1.5.0-b64",1311835578255
java.specification.name,sysinfo,,,"Java Platform API Specification",1311835578255
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1311835578255
java.specification.version,sysinfo,,,"1.5",1311835578255
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1311835578255
java.version,sysinfo,,,"1.5.0",1311835578255
java.vm.info,sysinfo,,,"mixed mode",1311835578255
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1311835578255
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1311835578255
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1311835578255
java.vm.specification.version,sysinfo,,,"1.0",1311835578255
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1311835578255
java.vm.version,sysinfo,,,"1.5.0-b64",1311835578255
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1311835578286
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1311835578489
started,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1311835578489
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1311835578567
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1311835578598
