what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311498595945
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311498601318
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311498922686
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311498923818
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311498925235
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311498941413
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311498944725
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311498948932
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311499089888
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311499135470
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311499314268
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311499359652
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1311499363350
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1311499363759
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311499379531
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311499395338
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311499413470
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1311499438428
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1311499441786
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1311499456777
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1311499474635
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1311499478869
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311499480138
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311499491939
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311499624265
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311499645742
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311499659077
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311499681920
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311499758359
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311499935961
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311499945064
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311499951153
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1311499958128
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1311499958360
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311499966096
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311499971676
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311499980592
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311500000863
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1311500004181
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311500005909
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311500020850
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311500039119
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311500079592
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311500093029
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1311500236118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311500236863
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311500265767
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311500279211
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311500282329
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1311500282337
