what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1311259134560
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1311259141013
error,log,,,"No command output when running: 'am start -n com.panda/com.panda.panda -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1311259165850
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311259182371
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311259190793
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311259197001
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311259359001
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311259404091
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311259468848
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311259471346
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1311259511154
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1311259515887
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311259532791
error,log,,,"No command output when running: 'am start -n com.panda/com.panda.panda -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1311259534411
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311259552713
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311259571476
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311259588148
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311259662763
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311259666880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311259670750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311259677232
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311259681077
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311259684203
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311259686647
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311259697385
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311259700984
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311259707716
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311259728024
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311259734937
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311259752613
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311259791731
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311259873776
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311259896601
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311259916740
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311259924900
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311259941513
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311260106817
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311260117137
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311260173856
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311260185477
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311260207946
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311260229223
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311260246215
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1311260257046
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311260266126
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311260284367
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311260288026
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311260350856
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311260353037
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311260375933
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311260627271
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1311260659696
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1311260663777
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1311260678792
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311260688295
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311260747417
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311260750254
