what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1311744305702
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1311744305702
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1311744305702
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1311744305702
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1311744305702
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1311744305702
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1311744305702
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1311744305702
started,bundle,com.android.ide.eclipse.adt,8.0.1.v201012062107-82219,"com.android.ide.eclipse.adt",1311744305702
started,bundle,com.android.ide.eclipse.ddms,8.0.1.v201012062107-82219,"com.android.ide.eclipse.ddms",1311744305702
started,bundle,org.eclipse.jem,2.0.401.v201104271300,"org.eclipse.jem",1311744305733
started,bundle,org.eclipse.jst.j2ee,1.1.405.v201104141500,"org.eclipse.jst.j2ee",1311744305780
started,bundle,org.eclipse.jst.j2ee.core,1.2.5.v201104261700,"org.eclipse.jst.j2ee.core",1311744305811
started,bundle,org.eclipse.wst.common.modulecore,1.2.6.v201103310300,"org.eclipse.wst.common.modulecore",1311744305811
started,bundle,org.eclipse.wst.jsdt.core,1.1.5.v201104272136,"org.eclipse.wst.jsdt.core",1311744305811
started,bundle,org.eclipse.wst.jsdt.ui,1.1.5.v201104070556,"org.eclipse.wst.jsdt.ui",1311744305827
started,bundle,org.eclipse.wst.validation,1.2.202.v201103212041,"org.eclipse.wst.validation",1311744305827
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1311744305827
started,bundle,org.eclipse.wst.xml.core,1.1.504.v201104070043,"org.eclipse.wst.xml.core",1311744305843
os,sysinfo,,,"win32",1311744305889
arch,sysinfo,,,"x86",1311744305889
ws,sysinfo,,,"win32",1311744305889
locale,sysinfo,,,"en_US",1311744305889
processors,sysinfo,,,"2",1311744305889
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1311744305889
java.runtime.version,sysinfo,,,"1.5.0-b64",1311744305889
java.specification.name,sysinfo,,,"Java Platform API Specification",1311744305889
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1311744305889
java.specification.version,sysinfo,,,"1.5",1311744305889
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1311744305889
java.version,sysinfo,,,"1.5.0",1311744305889
java.vm.info,sysinfo,,,"mixed mode",1311744305889
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1311744305889
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1311744305889
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1311744305889
java.vm.specification.version,sysinfo,,,"1.0",1311744305889
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1311744305889
java.vm.version,sysinfo,,,"1.5.0-b64",1311744305889
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1311744305905
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1311744306342
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1311744306435
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1311744306467
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1311744306560
started,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1311744306716
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1311744307075
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1311744307278
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1311744307371
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1311744307605
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1311744307683
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1311744307699
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1311744308573
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1311744308619
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1311744308682
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1311744308916
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1311744308994
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311744342518
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1311744345654
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1311744346403
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1311744346574
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311744347573
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311744350349
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311744364296
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311744372236
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1311744378585
started,bundle,org.eclipse.wst.server.core,1.1.207.v20110401_1511,"org.eclipse.wst.server.core",1311744378960
started,bundle,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui",1311744378991
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.4.v201103310001,"org.eclipse.wst.jsdt.debug.ui",1311744379194
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311744383429
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311744474848
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311744478312
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311744525861
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1311744528981
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1311744529066
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1311744529085
started,bundle,org.eclipse.wst.sse.core,1.1.505.v201104070043,"org.eclipse.wst.sse.core",1311744529754
started,bundle,org.eclipse.wst.sse.ui,1.2.4.v201103231819,"org.eclipse.wst.sse.ui",1311744543664
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1311744544563
started,bundle,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui",1311744544689
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1311744544836
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1311744544863
started,bundle,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.ui",1311744545018
started,bundle,org.eclipse.jst.jsp.core,1.2.305.v201104281428,"org.eclipse.jst.jsp.core",1311744545281
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1311744545841
started,bundle,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui",1311744545978
started,bundle,org.eclipse.jem.workbench,2.0.301.v201104271300,"org.eclipse.jem.workbench",1311744546715
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1311744546873
opened,editor,com.android.ide.eclipse.adt,8.0.1.v201012062107-82219,"com.android.ide.eclipse.editors.layout.LayoutEditor",1311744550803
activated,editor,com.android.ide.eclipse.adt,8.0.1.v201012062107-82219,"com.android.ide.eclipse.editors.layout.LayoutEditor",1311744551067
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311744565746
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1311744567245
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311744570138
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311744572076
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311744585152
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311744593599
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311744607634
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311744611024
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311744612908
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311744626229
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311744633088
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311744637444
started,bundle,org.eclipse.draw2d,3.6.2.v20110128-0100,"org.eclipse.draw2d",1311744641619
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311744678345
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311744686241
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311744687864
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311744935785
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311744966747
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311744966911
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311745070863
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311745092219
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311745095973
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311745348072
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311745372160
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311745372409
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311745749668
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311745756475
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1311745780962
