what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1312475303303
started,bundle,org.eclipse.wst.xml.core,1.1.504.v201104070043,"org.eclipse.wst.xml.core",1312475303318
os,sysinfo,,,"win32",1312475303334
arch,sysinfo,,,"x86",1312475303334
ws,sysinfo,,,"win32",1312475303334
locale,sysinfo,,,"en_US",1312475303334
processors,sysinfo,,,"2",1312475303334
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1312475303334
java.runtime.version,sysinfo,,,"1.5.0-b64",1312475303334
java.specification.name,sysinfo,,,"Java Platform API Specification",1312475303334
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312475303334
java.specification.version,sysinfo,,,"1.5",1312475303334
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1312475303334
java.version,sysinfo,,,"1.5.0",1312475303334
java.vm.info,sysinfo,,,"mixed mode",1312475303334
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1312475303334
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1312475303334
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312475303334
java.vm.specification.version,sysinfo,,,"1.0",1312475303334
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1312475303334
java.vm.version,sysinfo,,,"1.5.0-b64",1312475303334
started,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1312475303740
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1312475303818
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1312475303833
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1312475303880
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1312475305565
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1312475305596
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1312475306095
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1312475306158
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1312475306173
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1312475306189
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1312475308404
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312475314975
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312475339850
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1312475339873
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312475343104
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312475357640
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312475357649
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312475390840
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312475410996
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312475414632
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312475424214
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312475426270
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1312475426349
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1312475426356
started,bundle,org.eclipse.wst.sse.core,1.1.505.v201104070043,"org.eclipse.wst.sse.core",1312475427691
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1312475432818
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1312475434419
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312475459058
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312475462758
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1312475466669
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312475469526
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312475476254
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312475476653
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1312475476810
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1312475478300
started,bundle,org.eclipse.wst.server.core,1.1.207.v20110401_1511,"org.eclipse.wst.server.core",1312475478563
started,bundle,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui",1312475478646
