what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1311227813024
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311227868556
closed,editor,com.android.ide.eclipse.adt,8.0.1.v201012062107-82219,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1311227868567
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311227871984
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311227878639
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311227917777
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1311227931880
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1311227938292
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311227949268
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311227954904
error,log,,,"No command output when running: 'am start -n com.panda/com.panda.panda -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1311227958709
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311227959068
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311227981419
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311227984941
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1311228003522
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311228010760
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311228119133
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311228155021
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311228358217
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311228366842
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311228374310
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311228380600
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311228381345
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1311228381987
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311228399901
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311228408148
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311228432996
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311228806095
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311228907875
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311228908296
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1311228908390
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311228913740
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311228939574
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1311228944472
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1311228949854
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311228961048
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311228967371
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311228967388
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311228969130
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311228969248
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311228973412
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311228985031
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311229012056
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311229016821
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311229028218
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311229029780
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1311229042742
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1311229050420
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311229053989
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311229056957
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311229080714
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311229088080
error,log,,,"No command output when running: 'am start -n com.panda/com.panda.panda -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1311229097526
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311229099408
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311229139948
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311229161665
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311229169600
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1311229220859
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1311229224367
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1311229231458
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311229236964
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311229240381
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311229253783
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1311229257465
